number_of_rooms,floor,area,latitude,longitude,price
1,15,62.0,38.5625207,68.7694707,238000
2,15,74.0,38.58527165,68.7282739598053,265000
1,8,50.0,38.5853222,68.71890381645422,342000
3,1,48.0,38.5885533,68.7787884,353000
3,9,87.0,38.5536898,68.7652048,487000
3,7,82.0,,,545000
3,12,100.0,38.562076,68.7984058,520000
4,4,65.0,38.5305762,68.7763022,550000
2,2,66.0,38.52225355,68.74991793788521,513000
2,9,62.0,38.5507163,68.8305472,704000
2,4,47.0,38.5305762,68.7763022,200000
3,2,93.0,38.5885533,68.7787884,1081100
3,8,84.0,,,483650
3,9,70.0,38.5507163,68.8305472,479999
2,7,71.0,38.5507163,68.8305472,330000
2,2,79.0,38.5540499,68.78854784999999,388000
3,9,70.0,38.54557415,68.82363701984585,530000
1,5,47.0,,,236000
1,7,46.0,38.5686785,68.79479377896965,420000
2,8,75.0,,,350500
1,7,53.0,,,253700
3,9,89.0,38.58527165,68.7282739598053,570000
2,11,76.0,,,345000
2,10,111.0,,,569000
3,9,137.0,,,593500
2,13,120.0,,,1254000
3,7,128.0,,,862500
3,1,66.0,38.4881522,68.7153354,318640
2,12,64.0,,,356000
4,3,95.0,38.5853222,68.71890381645422,500000
1,4,42.0,,,290000
3,9,105.0,,,610000
1,1,42.0,,,273000
3,12,137.0,38.5647176,68.7909964,1015000
1,16,55.0,38.5266002,68.74827971106365,220000
2,6,71.0,38.5266002,68.74827971106365,379000
2,7,78.0,38.5707484,68.7886955,800000
1,4,55.0,38.5266002,68.74827971106365,293000
2,5,72.0,38.5644634,68.7598051,439000
1,5,58.0,38.5644634,68.7598051,396000
2,14,56.0,38.5234594,68.74951586109968,419000
3,4,76.0,38.55014405,68.76102166353772,425005
1,9,60.0,38.55844695,68.74822573217185,330000
3,11,140.0,38.5686785,68.79479377896965,1596000
1,8,48.0,38.5112209,68.73803768568288,179999
3,10,116.0,38.5686785,68.79479377896965,992000
2,5,57.0,38.5739136,68.7854047,750000
1,8,40.0,,,273000
3,1,50.0,38.5602287,68.8263841,342000
4,12,200.0,38.5834656,68.7891768,2034000
4,2,200.0,38.5858337,68.793715,800000
2,10,60.0,,,502740
2,16,71.0,38.5305762,68.7763022,485000
2,2,50.0,38.5615057,68.739065,220000
1,3,38.0,38.5507163,68.8305472,290000
2,10,90.0,,,513000
3,10,140.0,38.584950250000006,68.76348722496377,1140000
3,11,108.0,38.584950250000006,68.76348722496377,730000
3,19,298.0,38.584950250000006,68.76348722496377,1865000
1,4,50.0,,,380000
2,15,84.0,,,362292
1,10,40.0,38.5305762,68.7763022,238500
1,2,36.0,38.5615057,68.739065,160000
4,11,50.0,,,870000
2,8,76.0,38.58227975,68.76266008256485,370918
2,7,57.0,,,198000
1,1,25.0,38.5305762,68.7763022,125000
2,1,40.0,38.5305762,68.7763022,165000
1,3,51.0,38.5834656,68.7891768,380000
4,2,95.0,38.5234594,68.74951586109968,678000
2,14,54.0,38.5507163,68.8305472,555000
1,2,36.0,,,300000
2,14,88.0,38.5871679,68.7869964,635000
2,5,60.0,38.5871679,68.7869964,365000
1,2,26.0,,,275000
1,4,28.0,38.5507163,68.8305472,320000
2,3,49.0,38.5305762,68.7763022,220000
1,3,38.0,38.5305762,68.7763022,165000
3,2,60.0,38.5305762,68.7763022,255000
3,7,105.0,38.5615057,68.739065,780000
1,4,30.0,,,283000
3,4,70.0,38.5215622,68.74921245,545000
2,4,37.0,38.5305762,68.7763022,306000
3,11,93.0,38.4881522,68.7153354,957600
2,5,56.0,38.5615057,68.739065,275000
3,9,105.0,38.5234594,68.74951586109968,1089600
2,15,87.0,38.533662,68.6677214,630000
2,1,47.0,38.5507163,68.8305472,350000
2,7,82.0,38.5853222,68.71890381645422,228000
2,13,68.0,,,795000
3,2,74.0,,,600000
2,15,80.0,38.5615057,68.739065,270000
1,2,34.0,38.5885533,68.7787884,260000
2,12,72.0,38.5615057,68.739065,335000
2,5,83.0,38.5834656,68.7891768,950000
2,6,78.0,38.5615057,68.739065,520000
1,13,56.0,38.4881522,68.7153354,320000
3,5,90.0,,,990000
2,4,74.0,38.5823233,68.74831405,450000
4,15,218.0,38.5737759,68.8016005,1855000
2,7,96.0,38.5296206,68.74739629999999,547200
2,2,96.0,38.5296206,68.74739629999999,599000
1,2,30.0,38.5112209,68.73803768568288,230000
3,2,61.0,38.5100357,68.7339248,400000
1,3,23.0,38.5100357,68.7339248,120000
1,3,32.0,38.5112209,68.73803768568288,165000
4,9,81.0,,,550000
3,2,76.0,38.5615057,68.739065,480000
2,1,58.0,38.57159655,68.76501266615352,390000
1,2,50.0,38.5849938,68.7245146,3000
1,9,36.0,38.58569185,68.72512473468157,390000
2,2,45.0,38.5507163,68.8305472,261000
2,1,40.0,38.5615057,68.739065,310000
2,4,45.0,,,460000
1,2,50.0,,,150000
3,14,50.0,,,610000
6,11,200.0,38.5615057,68.739065,2200000
3,15,148.0,38.5507163,68.8305472,940000
3,2,71.0,38.528353,68.7378714,500000
3,12,64.0,38.54670385,68.74736905,495000
3,2,72.0,38.5858337,68.793715,200000
2,9,60.0,38.5615057,68.739065,431000
2,1,50.0,38.5615057,68.739065,340000
1,1,38.0,38.5615057,68.739065,270000
5,3,90.0,38.5615057,68.739065,680000
2,4,34.0,38.5507163,68.8305472,245000
2,3,68.0,38.5853222,68.71890381645422,456000
6,2,210.0,38.5615057,68.739065,2210000
3,7,78.0,38.55014405,68.76102166353772,620000
3,10,65.0,38.5871679,68.7869964,699000
2,7,50.0,38.584950250000006,68.76348722496377,379999
3,9,137.0,38.5507163,68.8305472,588000
3,9,100.0,38.5834656,68.7891768,700000
3,13,105.0,38.5834656,68.7891768,513000
3,11,79.0,38.5425835,68.81521423589763,48000
2,9,60.0,38.5615057,68.739065,460000
3,1,65.0,38.5615057,68.739065,520000
1,5,52.0,38.5507163,68.8305472,302300
1,19,41.0,38.5077678,68.7681578,115000
3,14,103.0,,,647000
2,5,75.0,,,450000
3,15,130.0,38.54557415,68.82363701984585,650000
1,11,27.0,38.5305762,68.7763022,227000
3,9,110.0,38.55468165,68.81668724545256,990000
3,9,98.0,38.5737759,68.8016005,1105000
3,6,129.0,,,912000
3,10,117.0,,,735000
3,12,78.0,38.4881522,68.7153354,680000
2,10,63.0,38.5737759,68.8016005,717000
2,12,83.0,,,470000
1,3,35.0,38.5305762,68.7763022,265100
3,1,50.0,38.5666857,68.80115682489688,300000
3,5,75.0,38.5575994,68.76368975457416,639000
3,7,135.0,38.5859732,68.79927069760828,1139999
1,10,60.0,38.58569185,68.72512473468157,450000
2,3,65.0,38.5871679,68.7869964,547200
3,12,78.0,38.4881522,68.7153354,635000
3,3,111.0,38.5208346,68.74790775,940000
3,2,118.0,,,795000
2,14,79.0,38.57144665,68.75630004640139,358000
3,12,65.0,38.5635832,68.7537962,682000
2,2,55.0,38.5575994,68.76368975457416,370000
2,6,65.0,,,580000
4,8,150.0,38.54670385,68.74736905,1272000
4,3,50.0,,,420000
1,3,38.0,38.5507163,68.8305472,295000
3,11,50.0,,,950000
1,9,51.0,38.5615057,68.739065,280000
2,7,78.0,38.52225355,68.74991793788521,460000
3,4,84.0,,,720000
2,1,60.0,38.5215622,68.74921245,420000
2,7,50.0,,,400000
3,1,54.0,38.55844695,68.74822573217185,350000
3,11,73.0,38.58527165,68.7282739598053,440000
1,9,47.0,38.5615057,68.739065,214300
2,18,57.0,,,270000
2,2,46.0,,,340000
2,13,79.0,38.5305762,68.7763022,490000
3,13,102.0,38.5858337,68.793715,695000
2,2,60.0,38.5615057,68.739065,460000
1,6,47.0,,,212440
2,3,58.0,38.5305762,68.7763022,570000
2,12,77.0,,,365000
2,11,100.0,38.5540499,68.78854784999999,363000
1,9,49.0,38.5507163,68.8305472,235000
1,7,54.0,38.5112209,68.73803768568288,220000
1,7,44.0,38.5615057,68.739065,198880
1,8,45.0,38.5615057,68.739065,205200
3,5,83.0,,,750000
3,2,120.0,38.5706843,68.7897228,1310000
3,6,107.0,,,1254000
3,4,70.0,,,795000
1,10,57.0,38.5644634,68.7598051,264400
2,2,45.0,38.5575994,68.76368975457416,430160
2,9,90.0,38.563966,68.7969471,461700
2,6,80.0,38.5117958,68.7356977,410000
2,1,36.0,,,339000
2,4,40.0,38.50599805,68.75511569013814,160000
1,4,40.0,38.50599805,68.75511569013814,160000
2,3,54.0,38.5615057,68.739065,375000
2,3,57.0,38.58527165,68.7282739598053,450000
2,2,50.0,38.5305762,68.7763022,245000
2,7,76.0,38.5234594,68.74951586109968,440000
3,17,123.0,38.533662,68.6677214,669000
3,5,51.0,38.58569185,68.72512473468157,500000
4,2,123.0,38.5234594,68.74951586109968,1202320
3,4,82.0,38.5615057,68.739065,290000
2,9,60.0,,,390000
3,7,79.0,38.5615057,68.739065,340000
4,9,105.0,38.5853222,68.71890381645422,545000
4,7,111.0,38.5215622,68.74921245,696000
3,8,96.0,38.5112209,68.73803768568288,379999
3,10,110.0,38.5658287,68.7857279,900000
3,12,103.0,38.5871679,68.7869964,643000
2,13,72.0,38.5832623,68.7107404123386,370000
1,2,54.0,38.5834656,68.7891768,335000
2,7,64.0,38.52225355,68.74991793788521,615000
2,3,50.0,38.5215622,68.74921245,410000
3,5,110.0,38.54557415,68.82363701984585,550000
1,7,68.0,38.5834656,68.7891768,550000
3,6,100.0,38.58569185,68.72512473468157,590000
3,6,109.0,38.5834656,68.7891768,865000
3,6,80.0,,,530000
1,3,50.0,,,153000
2,2,64.0,38.5858337,68.793715,195000
2,16,98.0,38.584950250000006,68.76348722496377,545000
1,14,53.0,38.5871679,68.7869964,290000
3,8,125.0,38.5707484,68.7886955,1320000
3,3,100.0,38.5905467,68.7329119,920000
3,5,124.0,,,420000
2,13,82.0,38.5737759,68.8016005,465000
2,11,85.0,38.5686785,68.79479377896965,490000
1,13,57.0,38.579194,68.79547520696856,318000
1,7,58.0,38.5707484,68.7886955,375000
2,12,90.0,38.5736713,68.7948765,738000
1,4,40.0,,,325000
1,7,50.0,38.5112209,68.73803768568288,319200
3,10,100.0,38.52225355,68.74991793788521,970000
3,9,90.0,,,586000
2,6,51.0,38.5507163,68.8305472,500000
2,5,50.0,38.58527165,68.7282739598053,400000
2,11,63.0,38.5615057,68.739065,447000
3,4,66.0,,,627000
5,3,165.0,,,1328250
4,1,54.0,38.5871679,68.7869964,290000
2,16,73.0,,,434861
3,12,129.0,,,838178
2,9,63.0,38.5615057,68.739065,295000
4,9,141.0,,,989115
4,3,80.0,,,650000
3,10,97.0,,,663723
5,8,125.0,,,898500
2,7,80.0,,,518000
2,15,54.0,,,427000
5,5,137.0,,,1055585
